center,finServ_finCode,transType,currency,sapHkont,description,active,flagKA,flag1T,flagIntKZ,flagTL_KA,flagTL_1T,flagTL_KA_FE,flagTL_1T_FE,flagTR_L_BBVA,flagTR_L_BMX
4104,DAIMLER,E,USD,1111201052,Bco Egr. Transferencia BNMX-00030,true,false,false,false,false,false,false,false,false,true
4104,DAIMLER,E,MXN,1111101112,Bco Egr. Transferencia BNMX-69337,true,false,false,false,false,false,false,false,false,true
4104,DAIMLER,E,USD,1111202142,Bco Egr. Transferencia BBVA-04201,true,false,false,false,false,false,false,false,true,false
4104,DAIMLER,E,USD,1111202152,Bco Egr. Transferencia BBVA-31610,true,false,false,false,false,false,false,false,true,false
4104,DAIMLER,E,MXN,1111102542,Bco Egr. Transferencia BBVA-35357,true,false,false,false,false,false,false,false,true,false
4104,DAIMLER,I,MXN,1111102533,Bco Ingr. BBVA-03517,true,false,true,false,false,false,false,true,true,false
4104,DAIMLER,I,USD,1111201053,Bco Ingr. BNMX-00030,true,false,true,false,false,false,false,true,false,true
4104,DAIMLER,I,MXN,1111101113,Bco Ingr. BNMX-69337,true,false,false,false,false,false,false,false,false,true
4104,DAIMLER,I,USD,1111202143,Bco Ingr. BBVA-04201,true,false,false,false,false,false,false,false,true,false
4104,DAIMLER,I,USD,1111202153,Bco Ingr. BBVA-31610,true,false,false,false,false,false,false,false,true,false
4104,DAIMLER,I,MXN,1111102543,Bco Ingr. BBVA-35357,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,E,MXN,1111102532,Bco Egr. Transferencia BBVA-03517,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,E,USD,1111201052,Bco Egr. Transferencia BNMX-00030,true,false,false,false,false,false,false,false,false,true
4104,SCOTIA,E,MXN,1111101112,Bco Egr. Transferencia BNMX-69337,true,false,false,false,false,false,false,false,false,true
4104,SCOTIA,E,USD,1111202142,Bco Egr. Transferencia BBVA-04201,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,E,USD,1111202152,Bco Egr. Transferencia BBVA-31610,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,E,MXN,1111102542,Bco Egr. Transferencia BBVA-35357,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,I,MXN,1111102533,Bco Ingr. BBVA-03517,true,false,false,false,false,false,false,false,true,false
